Corruption,Source_Only,MoTTA_Original,MoTTA_AAMP
Source_Only,94.32,93.51,93.56,84.97,91.77,86.70,77.14,84.41,79.56,77.79,44.36,95.78,85.68,77.01,65.46
MoTTA_Original,70.43,65.30,65.02,75.90,75.31,63.47,51.81,54.43,59.29,44.78,35.63,61.57,47.51,43.79,49.77
MoTTA_AAMP,69.04,63.23,63.78,69.71,70.35,58.46,50.11,52.82,57.10,43.15,33.46,57.41,46.05,42.45,47.64
